"","Condition","Consent","Pre_Q1","Pre_Q2","Pre_Q3","Pre_Q4","Pre_Q5","Pre_Q6","Pre_Q7","Pre_Q8","Pre_Q9","Pre_Q10","Pre_Q11","Pre_Q12","Pre_Q13","Pre_Q14","Pre_Q15","Image1","Image2","Image3","Image4","Image5","Image6","Image7","Image8","Vignette","Fact1","Fact2","Fact3","Fact4","Fact5","Fact6","Fact7","Fact8","Post_Q1","Post_Q2","Post_Q3","Post_Q4","Post_Q5","Post_Q6","Post_Q7","Post_Q8","Post_Q9","Post_Q10","Post_Q11","Post_Q12","Post_Q13","Post_Q14","Post_Q15","Behavior_CleanUp","Manipulation_Check","Animal_Age","Participant_Age","Participant_Gender","Behavior_Image1","Behavior_Image2","Behavior_Image3","Behavior_Image4","Behavior_Image"
"1",1,1,5,2,5,6,7,5,7,6,5,2,2,1,2,1,7,5,5,6,5,7,5,7,6,2,2,2,1,1,2,1,2,1,1,1,3,2,5,7,5,6,5,1,3,1,2,1,7,1,2,1,"19","Female",1,1,2,4,1
"2",1,1,3,3,3,4,5,1,2,1,2,3,2,3,2,2,4,4,2,4,5,6,2,6,2,3,2,2,1,1,2,2,1,1,2,3,4,6,4,5,4,5,5,3,3,6,4,2,4,2,2,1,"20","Male",1,1,1,4,1
"3",1,1,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,6,7,7,6,6,6,7,6,7,1,2,1,2,2,1,2,1,5,7,6,7,7,7,6,7,6,7,6,7,6,7,6,1,2,1,"22","Female",1,1,1,4,2
"4",1,1,1,1,1,7,6,6,6,7,3,2,3,5,1,1,7,6,3,5,6,7,5,7,3,2,2,2,1,1,2,2,1,1,1,1,1,2,5,7,6,7,7,2,7,1,7,3,7,1,2,1,"23","Male",1,1,1,4,1
"5",1,1,7,7,7,1,1,1,1,1,4,7,7,4,7,7,4,1,1,1,1,1,1,7,1,1,2,2,1,1,2,1,1,1,7,4,7,7,1,1,1,1,1,1,1,7,1,7,1,2,2,1,"24","Male",1,2,1,4,2
"6",1,1,4,1,1,7,7,4,4,4,4,4,4,4,1,1,4,4,4,6,4,5,4,4,4,3,2,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,2,2,1,"24","Male",1,1,1,4,1
"7",1,1,5,5,6,5,7,6,6,5,4,7,6,6,5,7,6,5,6,6,5,7,5,5,6,6,1,1,1,1,1,2,1,1,4,6,5,7,6,6,7,5,6,6,4,3,6,4,6,2,2,1,"25","Female",2,2,2,7,2
"8",1,1,1,1,2,6,7,6,6,7,2,4,1,6,1,7,6,6,5,7,6,7,4,7,2,3,2,2,1,1,2,1,1,1,1,1,1,1,7,7,7,1,6,1,7,1,6,1,6,2,2,1,"26","Male",2,1,1,4,1
"9",1,1,7,5,7,6,7,4,7,6,7,5,7,4,7,5,7,6,5,7,6,5,4,2,3,7,1,2,1,1,1,1,1,1,7,5,7,6,7,5,7,5,7,6,7,5,6,7,6,1,2,1,"27","Male",2,1,2,4,2
"10",1,1,6,6,6,3,3,1,2,1,7,7,6,2,5,5,1,5,2,6,2,7,2,7,3,1,2,2,1,1,2,1,1,1,3,3,6,3,6,5,6,6,6,2,6,2,6,1,6,1,2,1,"28","Male",2,1,1,4,1
"11",1,1,5,4,6,5,4,3,5,4,3,2,3,4,3,2,4,2,5,5,4,7,4,7,5,6,1,1,1,1,1,1,2,1,6,3,4,5,4,6,5,4,3,4,4,3,5,2,4,1,2,1,"28","Male",1,2,1,4,1
"12",1,1,6,4,5,4,4,4,4,4,4,4,7,6,5,4,4,7,4,4,7,4,7,1,7,7,1,1,1,1,1,1,2,1,1,3,6,4,2,6,1,6,2,6,3,7,2,7,4,1,2,1,"30","Male",1,1,1,4,1
"13",1,1,4,3,1,6,7,3,5,1,4,7,3,2,7,2,4,6,6,5,5,5,6,6,5,7,2,2,1,1,2,1,1,2,2,6,5,1,4,1,5,2,2,4,7,7,1,5,6,2,2,1,"30","Male",2,1,1,4,1
"14",1,1,1,1,1,7,7,7,7,7,5,5,6,5,1,1,6,7,1,7,1,7,4,7,4,1,2,2,1,1,1,1,1,1,1,5,7,1,5,7,7,5,7,1,5,1,7,5,7,2,2,1,"30","Male",1,1,1,4,1
"15",1,1,2,3,3,5,4,3,2,5,3,4,3,3,2,3,5,5,3,5,3,4,3,6,3,3,2,2,1,1,2,1,2,1,3,3,6,4,3,5,5,4,6,3,2,6,5,3,5,2,2,1,"31","Male",2,1,1,7,2
"16",1,1,3,3,3,5,6,5,5,5,4,3,3,4,2,2,5,5,2,4,2,6,2,7,2,3,2,2,1,1,2,2,1,1,3,3,5,3,5,6,5,5,5,2,4,3,5,3,6,2,2,1,"31","Male",1,1,1,4,1
"17",1,1,3,4,4,6,7,6,7,7,3,4,5,5,3,3,3,5,3,6,3,7,5,7,3,2,1,2,1,1,2,1,1,1,1,5,4,1,5,4,6,3,4,3,5,1,4,5,5,2,2,1,"32","Male",1,1,1,4,2
"18",1,1,5,4,4,5,6,5,4,5,6,4,4,5,5,6,4,5,4,5,5,4,4,5,5,4,1,1,1,1,1,2,2,2,6,3,4,5,3,5,5,4,6,6,4,4,6,6,5,2,2,2,"32","Male",2,2,1,7,2
"19",1,1,5,5,5,5,5,6,5,4,5,5,4,5,4,4,6,6,6,4,4,4,6,3,5,4,1,1,1,1,1,1,1,1,2,4,4,5,4,4,5,4,4,2,4,3,4,4,3,1,2,3,"33","Female",1,2,1,4,2
