"","Conditions","Pre1","Pre2","Pre3","Pre4","Pre5","Pre6","Pre7","Pre8","Pre9","Pre10","Pre11","Pre12","Pre13","Pre14","Pre15","Post1","Post2","Post3","Post4","Post5","Post6","Post7","Post8","Post9","Post10","Post11","Post12","Post13","Post14","Post15"
"1",1,3,6,3,6,7,5,7,6,3,6,6,1,6,7,7,3,5,2,5,7,6,7,7,3,6,7,5,7,7,7
"2",1,5,5,5,4,5,1,2,1,6,5,6,3,6,6,4,4,5,4,4,5,2,2,6,3,5,6,4,5,4,5
"3",1,2,1,2,7,6,7,6,7,1,2,1,6,1,2,7,6,6,6,6,1,1,1,3,6,7,1,7,7,6,1
"4",1,7,7,7,7,6,6,6,7,5,6,5,5,7,7,7,1,7,7,6,6,6,7,7,7,7,5,5,7,7,7
"5",1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,4,7,1,1,1,7,1,1,1,1,1,1,1,1,1,4
"6",1,4,7,7,7,7,4,4,4,4,4,4,4,7,7,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4
"7",1,3,3,2,5,7,6,6,5,4,1,2,6,3,1,6,5,6,6,7,2,1,5,4,4,5,4,6,6,6,2
"8",1,7,7,6,6,7,6,6,7,6,4,7,6,7,1,6,1,6,6,7,7,7,7,7,7,1,7,7,7,6,7
"9",1,1,3,1,6,7,4,7,6,1,3,1,4,1,3,7,7,7,6,7,2,2,3,1,7,5,1,7,5,6,3
"10",1,2,2,2,3,3,1,2,1,1,1,2,2,3,3,1,6,6,6,6,6,5,6,5,6,6,7,6,5,6,5
"11",1,3,4,2,5,4,3,5,4,5,6,5,4,5,6,4,4,3,5,5,4,3,5,2,4,4,6,4,6,4,5
"12",1,2,4,3,4,4,4,4,4,4,4,1,6,3,4,4,6,2,2,1,2,4,1,7,3,6,1,2,6,4,5
"13",1,4,5,7,6,7,3,5,1,4,1,5,2,1,6,4,5,2,1,5,4,7,1,6,7,2,3,4,1,6,2
"14",1,7,7,7,7,7,7,7,7,3,3,2,5,7,7,6,7,7,7,7,7,7,7,7,5,5,3,5,7,7,3
"15",1,6,5,5,5,4,3,2,5,5,4,5,3,6,5,5,6,6,5,5,5,4,2,5,2,4,5,3,5,5,5
"16",1,5,5,5,5,6,5,5,5,4,5,5,4,6,6,5,5,5,5,5,6,5,5,5,4,5,5,5,6,6,5
"17",1,5,4,4,6,7,6,7,7,5,4,3,5,5,5,3,4,4,4,6,5,7,7,7,5,3,3,5,4,5,3
"18",1,3,4,4,5,6,5,4,5,2,4,4,5,3,2,4,4,6,6,5,2,3,4,2,4,4,2,3,5,5,5
"19",1,3,3,3,5,5,6,5,4,3,3,4,5,4,4,6,4,4,4,5,6,3,5,6,4,4,4,4,4,3,4
"20",1,7,7,7,7,7,7,7,7,1,7,7,7,7,7,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7
"21",1,2,1,2,7,6,7,6,7,2,1,2,7,2,1,6,6,6,6,6,1,1,1,2,6,7,1,6,7,6,1
"22",1,1,2,2,7,7,5,6,7,2,3,1,6,1,2,7,6,6,6,6,1,1,1,2,6,5,1,6,7,6,1
"23",1,1,1,2,7,6,7,7,6,1,1,2,7,1,1,6,7,6,7,7,1,2,1,1,7,7,2,7,6,7,2
"24",1,2,2,3,6,7,7,6,6,1,2,1,4,2,3,4,5,4,3,6,5,2,4,2,5,6,6,4,3,3,2
"25",1,2,1,3,6,5,6,5,6,1,2,4,5,2,1,5,7,7,6,5,2,3,3,2,4,6,1,6,7,6,3
"26",1,3,2,3,6,4,5,6,5,4,3,3,4,3,3,4,4,6,6,4,3,3,4,3,6,5,2,5,5,5,2
"27",1,7,7,7,6,7,6,7,6,3,6,2,2,6,6,7,6,6,4,4,6,6,7,7,6,5,6,4,6,5,7
"28",1,7,7,7,7,7,7,7,7,5,5,3,4,7,7,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,1
"29",1,2,3,4,7,6,5,6,5,4,1,2,6,4,3,6,4,6,4,5,3,2,3,1,4,4,2,5,4,5,3
"30",1,3,7,5,4,6,1,5,4,2,1,1,2,4,1,3,3,5,3,4,6,2,4,3,3,1,1,4,3,1,4
"31",1,7,7,7,7,7,7,7,7,4,4,6,2,7,7,4,7,7,7,7,7,7,7,7,4,6,4,4,7,7,4
"32",1,5,6,6,6,7,6,7,6,5,7,6,5,7,7,7,5,6,5,6,6,6,5,5,5,7,7,6,7,7,7
"33",1,3,2,3,4,5,6,6,5,3,2,2,5,4,5,5,5,5,5,6,4,4,2,3,5,5,3,5,6,6,2
"34",1,6,6,7,4,5,5,4,4,5,5,6,2,6,6,6,6,5,5,5,6,5,5,5,4,4,4,3,6,6,6
"35",1,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,7,7,1,7,7,7,7,7,7,7,2,7,7,1
"36",1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"37",1,7,7,7,7,7,6,7,7,3,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
"38",1,2,4,3,4,5,4,6,5,3,2,3,6,3,2,5,6,6,6,6,3,3,3,2,6,5,4,6,5,6,3
"39",2,6,6,6,6,7,5,1,5,6,3,3,2,6,4,2,6,7,7,6,7,6,6,5,3,5,2,2,6,4,3
"40",2,3,5,5,5,7,3,5,3,5,5,5,7,7,7,7,3,7,5,7,7,5,5,5,6,7,7,7,7,7,7
"41",2,1,2,1,6,7,6,7,6,1,2,1,6,1,2,7,7,7,7,7,2,2,2,1,7,6,2,7,6,7,2
"42",2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,6,6,5,6,7,7,6,5,4,6,6,6,5
"43",2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"44",2,2,3,2,7,6,5,7,5,4,2,3,6,1,3,6,7,5,5,7,2,2,2,3,7,6,1,5,6,6,2
"45",2,4,7,2,6,7,4,2,7,3,5,6,4,6,4,6,5,2,3,2,2,7,4,4,1,7,7,4,7,3,4
"46",2,5,1,2,4,7,6,6,5,2,5,3,6,6,2,7,5,6,2,6,7,7,7,6,5,6,3,6,6,4,6
"47",2,2,1,2,6,7,6,7,6,2,1,3,6,1,2,7,7,6,7,6,1,2,2,1,5,7,1,5,7,6,2
"48",2,3,1,3,3,5,2,5,2,5,6,5,2,3,5,4,6,3,3,5,3,5,2,2,2,3,3,6,3,3,5
"49",2,7,7,7,7,7,7,7,7,4,7,4,4,7,7,4,7,7,7,7,7,7,4,7,4,4,4,4,7,7,4
"50",2,6,6,6,7,7,6,6,6,2,5,3,2,6,6,3,7,7,7,6,6,6,7,7,5,5,6,4,7,6,3
"51",2,7,7,7,6,5,5,6,5,2,3,1,1,7,6,3,7,7,7,5,6,5,6,6,3,2,1,2,7,6,2
"52",2,3,2,4,5,6,3,4,6,3,5,4,6,5,4,6,3,6,4,4,6,4,6,4,4,5,3,5,6,4,2
"53",2,3,3,3,5,5,5,5,5,3,3,3,5,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"54",2,4,5,1,3,2,3,3,6,1,7,2,3,5,2,5,6,2,5,3,5,2,2,7,1,2,5,4,5,4,2
"55",2,3,3,2,6,5,6,5,4,2,3,2,6,2,3,7,5,7,7,6,2,3,1,1,5,6,2,6,6,5,2
"56",2,7,7,6,7,7,5,3,6,5,7,6,3,6,6,5,7,7,7,6,7,6,7,7,6,6,7,7,5,5,7
"57",2,5,4,3,6,7,6,5,4,5,6,5,4,3,3,6,5,3,3,5,6,2,6,6,1,4,4,7,6,5,5
"58",2,7,7,7,6,1,5,4,5,5,4,6,4,7,6,5,1,4,5,7,7,7,4,4,4,4,5,4,7,6,7
"59",2,7,7,7,5,6,6,5,5,3,4,3,3,6,6,3,1,7,6,7,7,4,5,6,6,6,3,4,6,5,6
"60",2,7,7,7,7,5,3,5,3,4,4,4,1,4,7,4,7,7,7,7,7,3,7,3,7,4,4,1,7,7,4
"61",2,4,4,3,5,5,3,4,4,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"62",2,2,4,1,1,2,1,1,1,6,5,3,1,3,3,7,5,2,4,2,3,6,2,2,1,4,2,3,2,5,7
"63",2,1,5,2,4,7,7,6,7,5,5,4,3,6,3,7,7,7,5,7,6,6,7,7,6,7,2,2,5,6,7
"64",2,3,2,1,6,5,6,5,4,3,2,3,4,2,3,4,5,7,7,5,2,2,2,3,5,6,2,7,6,5,2
"65",2,1,1,1,6,7,7,7,7,1,1,1,6,1,1,7,6,6,6,6,1,2,1,1,5,6,1,6,6,7,2
"66",2,2,1,2,6,6,7,7,6,2,1,1,7,1,2,7,6,6,6,7,1,1,1,3,6,6,3,6,6,6,2
"67",2,2,1,2,5,6,7,5,6,3,2,1,6,3,2,6,5,5,5,5,2,2,2,3,5,6,2,5,6,5,2
"68",2,7,7,7,7,7,6,7,6,6,7,7,4,7,6,7,7,7,7,7,7,6,7,7,6,7,7,5,2,4,7
"69",2,6,7,6,5,6,2,4,4,3,7,6,7,7,6,6,6,6,5,5,5,5,5,5,4,7,6,5,2,6,6
"70",2,7,7,7,7,7,7,7,7,2,7,2,5,7,7,7,7,7,3,7,7,7,7,7,1,3,3,7,7,3,7
"71",2,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
"72",2,7,7,7,6,6,6,5,5,3,4,4,4,5,5,4,6,5,6,6,6,5,6,6,4,4,4,6,6,6,4
"73",2,6,7,5,5,7,5,5,4,4,2,4,3,6,5,6,5,7,6,6,7,5,5,5,4,6,4,4,5,6,7
"74",2,2,2,2,6,7,6,7,6,2,1,1,7,1,1,7,6,6,7,6,2,2,2,3,6,7,2,6,7,6,2
"75",2,3,2,1,7,6,7,6,7,2,1,2,7,3,1,6,7,7,5,6,4,3,2,6,5,5,2,4,3,7,2
"76",2,2,1,3,6,4,5,6,7,2,4,3,6,1,2,5,5,6,4,6,1,2,5,2,5,5,7,4,7,7,1
"77",2,4,5,5,4,4,4,4,4,4,5,3,3,6,6,3,5,6,4,5,6,4,5,4,6,5,3,4,6,5,4
"78",2,5,6,6,6,7,5,5,5,5,6,6,6,6,5,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6
"79",2,2,1,2,7,6,6,7,6,1,1,2,6,1,1,6,6,7,7,7,2,1,2,3,7,6,2,6,7,6,1
"80",2,5,2,6,5,6,6,4,5,2,4,3,4,3,3,4,6,6,3,4,2,4,3,3,4,4,5,4,5,6,5
"81",2,7,6,6,6,6,6,6,7,2,2,1,4,5,4,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,7
"82",3,3,4,4,5,3,4,5,4,2,4,2,4,3,4,5,5,4,7,3,5,4,5,3,5,6,2,3,5,5,6
"83",3,4,3,3,6,6,5,4,6,2,3,3,4,4,2,6,3,5,5,5,3,6,3,4,4,4,4,3,4,6,5
"84",3,2,3,1,7,6,5,1,5,3,2,7,7,1,7,6,3,2,2,6,1,1,3,5,6,7,6,1,7,1,7
"85",3,1,3,1,5,6,7,4,5,1,2,3,4,2,1,6,7,7,7,5,2,3,3,3,7,6,2,7,6,7,2
"86",3,7,7,7,7,7,5,7,5,1,5,7,3,5,6,4,7,7,7,7,7,5,5,5,3,5,7,3,5,5,4
"87",3,5,6,6,6,5,1,4,3,5,6,2,3,4,5,3,7,7,6,5,6,2,4,3,4,5,1,5,5,6,4
"88",3,6,7,7,7,7,3,7,7,7,7,6,6,7,7,7,1,6,2,7,7,7,7,7,4,1,7,6,7,7,7
"89",3,1,2,1,6,7,7,6,7,1,2,1,6,1,2,7,7,7,7,7,2,2,2,1,7,6,2,7,6,7,2
"90",3,1,1,1,7,7,7,7,7,1,1,1,7,1,1,7,7,7,7,7,1,1,1,1,7,7,1,7,7,7,1
"91",3,7,7,7,4,7,2,7,2,1,1,3,1,7,3,7,7,7,7,7,7,7,7,2,5,1,6,1,7,6,7
"92",3,6,7,6,7,7,6,7,6,7,2,1,6,7,1,6,7,7,7,6,7,7,7,7,7,1,7,1,7,7,7
"93",3,3,2,1,5,4,2,1,2,4,3,2,7,2,3,4,4,5,5,3,2,5,2,2,7,4,4,2,2,3,3
"94",3,3,5,6,3,5,2,3,3,3,6,5,2,6,6,2,2,2,3,2,6,5,5,6,3,2,6,2,3,2,6
"95",3,3,2,4,5,7,4,5,7,5,2,3,7,3,2,4,5,5,5,5,2,2,2,3,5,6,2,5,6,5,2
"96",3,3,7,3,2,3,1,6,1,4,7,5,1,7,7,7,3,5,5,2,6,3,7,4,1,6,5,1,7,7,1
"97",3,6,7,7,6,7,2,5,6,5,4,4,5,6,5,3,7,6,6,6,7,6,6,5,4,5,5,5,5,5,4
"98",3,2,2,2,6,6,6,6,6,2,2,2,6,2,2,6,5,5,6,6,2,2,2,2,5,6,3,6,6,6,2
"99",3,2,1,2,5,7,6,7,5,2,1,2,5,2,2,5,6,6,5,6,4,3,1,2,6,5,2,6,5,5,1
"100",3,2,1,2,7,6,7,6,7,2,1,2,7,2,3,6,6,6,5,6,3,1,1,2,6,7,2,6,5,7,1
"101",3,3,3,3,6,5,6,5,6,3,2,2,3,5,3,4,3,5,2,2,5,6,5,4,4,3,3,4,3,5,4
